Rating;Reviews;Followers;Sentimiento
1.0;13.0;67.0;-1
1.0;2.0;10.0;-1
5.0;2.0;1.0;1
5.0;1.0;0.0;1
2.0;3.0;1.0;-1
1.0;25.0;722.0;-1
5.0;1.0;0.0;1
5.0;5.0;2.0;1
5.0;2.0;37.0;1
5.0;1.0;0.0;1
1.0;12.0;5.0;-1
4.0;16.0;51.0;1
2.0;3.0;6.0;0
1.0;1.0;1.0;-1
1.0;1.0;0.0;-1
4.0;18.0;10.0;1
3.0;5.0;7.0;0
5.0;1.0;0.0;1
5.0;1.0;0.0;1
2.0;4.0;56.0;-1
4.0;4.0;46.0;1
5.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;1.0;2.0;1
5.0;1.0;0.0;1
4.0;1.0;0.0;0
5.0;1.0;0.0;1
5.0;1.0;0.0;1
4.0;1.0;13.0;1
5.0;1.0;1.0;1
5.0;1.0;0.0;1
4.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;1.0;2.0;1
5.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;2.0;0.0;1
5.0;6.0;7.0;1
4.0;4.0;76.0;1
5.0;1.0;1.0;0
4.0;1.0;1.0;1
5.0;1.0;1.0;1
1.0;2.0;3.0;-1
5.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;2.0;2.0;1
4.0;25.0;15.0;1
5.0;1.0;5.0;1
5.0;1.0;1.0;1
5.0;1.0;7.0;1
5.0;1.0;1.0;1
5.0;0.0;0.0;1
5.0;1.0;30.0;1
4.0;2.0;1.0;1
5.0;2.0;0.0;1
5.0;1.0;1.0;1
1.0;3.0;0.0;-1
5.0;2.0;4.0;1
5.0;1.0;0.0;1
3.0;45.0;48.0;-1
5.0;0.0;1.0;1
5.0;0.0;0.0;1
5.0;3.0;20.0;1
5.0;1.0;0.0;1
5.0;2.0;167.0;1
5.0;1.0;1.0;0
5.0;1.0;2.0;1
5.0;2.0;1.0;1
4.0;1.0;2.0;1
5.0;1.0;3.0;1
5.0;1.0;2.0;1
5.0;1.0;2.0;1
5.0;2.0;1.0;1
5.0;1.0;1.0;1
5.0;1.0;2.0;1
5.0;1.0;3.0;1
5.0;1.0;5.0;1
5.0;2.0;3.0;1
5.0;1.0;5.0;1
5.0;7.0;3.0;1
5.0;1.0;7.0;1
5.0;2.0;1.0;1
1.0;7.0;2.0;-1
5.0;15.0;3.0;1
5.0;1.0;2.0;1
5.0;1.0;1.0;1
5.0;1.0;16.0;1
4.0;1.0;1.0;1
5.0;15.0;91.0;1
5.0;1.0;1.0;1
5.0;1.0;2.0;1
5.0;1.0;2.0;1
5.0;1.0;2.0;1
5.0;1.0;2.0;1
5.0;1.0;3.0;1
4.0;1.0;1.0;1
5.0;1.0;1.0;1
4.0;3.0;2.0;1
5.0;2.0;66.0;1
4.0;18.0;11.0;1
5.0;1.0;1.0;1
5.0;1.0;2.0;1
5.0;1.0;2.0;1
5.0;1.0;1.0;1
5.0;2.0;4.0;1
5.0;1.0;3.0;1
4.0;0.0;4.0;1
4.0;1.0;2.0;1
5.0;2.0;3.0;1
4.0;2.0;51.0;1
4.0;1.0;0.0;1
5.0;1.0;2.0;1
5.0;1.0;1.0;1
5.0;2.0;6.0;1
5.0;1.0;2.0;1
5.0;2.0;34.0;1
5.0;1.0;2.0;1
5.0;1.0;5.0;1
5.0;1.0;0.0;1
2.0;2.0;40.0;-1
4.0;16.0;71.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;2.0;2.0;-1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;1.0;10.0;1
5.0;1.0;0.0;1
5.0;1.0;2.0;1
5.0;7.0;4.0;1
5.0;1.0;21.0;1
5.0;1.0;1.0;1
5.0;6.0;1.0;1
5.0;2.0;19.0;1
5.0;1.0;1.0;1
2.0;4.0;0.0;-1
5.0;1.0;1.0;1
1.0;4.0;3.0;-1
5.0;1.0;1.0;1
5.0;76.0;860.0;1
5.0;3.0;2.0;1
5.0;1.0;44.0;1
3.0;12.0;5.0;0
5.0;4.0;1.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;3.0;0.0;1
3.0;3.0;1.0;-1
5.0;1.0;0.0;1
3.0;56.0;318.0;0
4.0;16.0;55.0;0
5.0;1.0;84.0;1
5.0;46.0;59.0;1
4.0;4.0;4.0;1
5.0;50.0;69.0;1
5.0;3.0;2.0;1
5.0;1.0;2.0;1
5.0;1.0;3.0;1
5.0;1.0;0.0;1
5.0;2.0;73.0;1
4.0;3.0;4.0;0
5.0;3.0;0.0;1
5.0;2.0;1.0;1
5.0;1.0;1.0;1
5.0;2.0;0.0;1
5.0;1.0;0.0;1
5.0;1.0;1.0;1
2.0;11.0;80.0;-1
5.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;1.0;0.0;1
2.0;1.0;1.0;-1
5.0;1.0;0.0;1
5.0;3.0;2.0;1
5.0;1.0;1.0;1
5.0;1.0;2.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
4.0;70.0;169.0;1
5.0;1.0;34.0;1
5.0;1.0;1.0;1
5.0;1.0;0.0;1
4.0;15.0;46.0;1
5.0;1.0;0.0;1
5.0;2.0;1.0;1
5.0;4.0;3.0;1
5.0;1.0;1.0;1
5.0;1.0;6.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;2.0;0.0;1
5.0;13.0;63.0;1
5.0;1.0;0.0;1
5.0;3.0;1.0;1
5.0;1.0;0.0;1
4.0;61.0;26.0;0
5.0;3.0;173.0;1
5.0;2.0;0.0;1
5.0;1.0;1.0;1
4.0;60.0;225.0;1
5.0;1.0;68.0;1
5.0;1.0;1.0;1
5.0;2.0;2.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;2.0;0.0;1
5.0;1.0;0.0;1
5.0;1.0;1.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;1.0;3.0;1
5.0;3.0;1.0;1
5.0;2.0;1.0;1
5.0;1.0;1.0;1
1.0;3.0;42.0;0
5.0;14.0;11.0;1
5.0;1.0;1.0;0
5.0;5.0;11.0;1
5.0;2.0;1.0;1
5.0;10.0;1.0;1
4.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
4.0;1.0;0.0;1
3.0;1.0;1.0;-1
5.0;22.0;171.0;-1
2.0;1.0;3.0;-1
5.0;4.0;2.0;1
4.0;20.0;9.0;1
1.0;5.0;5083.0;-1
1.0;1.0;0.0;-1
3.0;1.0;1.0;-1
1.0;1.0;1.0;0
4.0;114.0;835.0;1
4.0;31.0;82.0;1
2.0;1.0;0.0;-1
1.0;1.0;0.0;-1
4.0;6.0;19.0;0
1.0;1.0;0.0;-1
3.0;15.0;20.0;0
4.0;197.0;1383.0;1
5.0;2.0;15.0;1
5.0;6.0;2.0;1
5.0;4.0;0.0;-1
5.0;1.0;47.0;1
5.0;2.0;1.0;1
1.0;1.0;2.0;-1
1.0;1.0;0.0;-1
4.0;1.0;1.0;1
2.0;1.0;0.0;-1
1.0;1.0;1.0;-1
4.0;1.0;1.0;1
3.0;28.0;34.0;-1
5.0;19.0;53.0;1
5.0;5.0;4.0;1
3.0;65.0;12.0;1
4.0;6.0;3.0;1
5.0;1.0;0.0;1
1.0;1.0;0.0;-1
2.0;12.0;87.0;-1
5.0;1.0;11.0;1
2.0;17.0;2.0;-1
5.0;2.0;0.0;1
3.0;20.0;8.0;-1
1.0;1.0;1.0;-1
3.0;1.0;5.0;0
5.0;10.0;11.0;1
5.0;1.0;1.0;1
4.0;1.0;0.0;-1
4.0;36.0;1224.0;0
1.0;1.0;0.0;-1
1.0;12.0;5.0;-1
3.0;3.0;6.0;-1
5.0;5.0;4.0;1
3.0;1.0;19.0;-1
4.0;7.0;5.0;0
1.0;2.0;1.0;-1
5.0;2.0;1.0;1
4.0;1.0;0.0;1
4.0;45.0;397.0;1
5.0;22.0;263.0;1
1.0;1.0;0.0;-1
2.0;15.0;34.0;-1
5.0;5.0;2.0;1
3.0;4.0;0.0;0
1.0;1.0;0.0;-1
1.0;2.0;1.0;-1
1.0;1.0;1.0;-1
5.0;61.0;73.0;1
4.0;14.0;19.0;-1
4.0;27.0;42.0;1
1.0;4.0;2.0;0
5.0;3.0;90.0;1
5.0;3.0;32.0;1
1.0;18.0;12.0;-1
1.0;1.0;0.0;-1
5.0;2.0;1.0;1
4.0;163.0;1204.0;1
1.0;1.0;1.0;-1
5.0;4.0;0.0;1
3.0;86.0;145.0;1
1.0;1.0;4.0;-1
1.0;1.0;8.0;-1
1.0;15.0;94.0;-1
2.0;28.0;5.0;-1
4.0;11.0;3.0;1
1.0;1.0;0.0;-1
5.0;5.0;24.0;1
3.0;29.0;11.0;0
5.0;25.0;5.0;1
1.0;1.0;0.0;-1
5.0;1.0;1.0;1
5.0;39.0;78.0;1
2.0;7.0;2.0;-1
4.0;4.0;14.0;0
4.0;12.0;21.0;1
1.0;1.0;1.0;-1
4.0;19.0;5.0;1
5.0;7.0;117.0;1
5.0;1.0;2.0;1
5.0;1.0;65.0;1
5.0;4.0;1.0;1
5.0;2.0;3.0;1
5.0;1.0;154.0;1
5.0;1.0;2.0;1
5.0;2.0;78.0;1
5.0;1.0;2.0;1
5.0;2.0;60.0;1
5.0;13.0;26.0;1
4.0;7.0;6.0;1
5.0;1.0;2.0;1
4.0;107.0;394.0;1
5.0;44.0;179.0;1
5.0;2.0;0.0;1
4.0;169.0;327.0;1
4.0;14.0;17.0;1
4.0;9.0;9.0;1
5.0;2.0;2.0;1
1.0;2.0;1.0;-1
1.0;3.0;10.0;-1
5.0;2.0;83.0;1
4.0;27.0;38.0;1
5.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;1.0;10.0;1
5.0;4.0;17.0;1
5.0;1.0;3.0;1
5.0;33.0;69.0;1
5.0;9.0;8.0;1
5.0;2.0;112.0;1
4.0;7.0;2.0;1
4.0;3.0;9.0;1
1.0;3.0;27.0;-1
4.0;22.0;92.0;1
5.0;3.0;17.0;1
5.0;1.0;6.0;1
5.0;1.0;2.0;1
4.0;29.0;51.0;1
5.0;15.0;8.0;1
3.0;4.0;6.0;1
3.0;69.0;178.0;0
1.0;2.0;2.0;-1
4.0;3.0;90.0;1
5.0;1.0;3.0;1
5.0;23.0;294.0;1
1.0;1.0;15.0;-1
4.0;47.0;118.0;1
3.0;161.0;1101.0;-1
5.0;1.0;2.0;1
4.0;8.0;116.0;1
5.0;2.0;2.0;1
5.0;2.0;23.0;1
5.0;4.0;5.0;1
5.0;1.0;199.0;1
5.0;1.0;3.0;1
3.0;18.0;128.0;0
4.0;63.0;260.0;1
5.0;24.0;15.0;1
2.0;23.0;49.0;-1
5.0;2.0;2.0;1
5.0;1.0;22.0;1
4.0;3.0;2.0;1
5.0;122.0;388.0;1
5.0;3.0;1.0;1
5.0;1.0;2.0;1
5.0;14.0;25.0;1
4.0;20.0;14.0;1
5.0;1.0;22.0;1
5.0;2.0;2.0;1
4.0;2.0;22.0;1
5.0;22.0;67.0;1
5.0;2.0;1.0;1
5.0;2.0;33.0;1
4.0;11.0;14.0;1
5.0;1.0;2.0;1
4.0;99.0;106.0;1
1.0;1.0;51.0;-1
5.0;1.0;2.0;1
5.0;55.0;152.0;1
5.0;4.0;49.0;1
4.0;4.0;12.0;1
4.0;5.0;195.0;1
4.0;8.0;77.0;1
4.0;151.0;418.0;1
5.0;15.0;38.0;1
4.0;5.0;34.0;1
5.0;2.0;33.0;1
4.0;5.0;5.0;1
4.0;1.0;1.0;1
5.0;1.0;0.0;1
5.0;1.0;7.0;1
3.0;16.0;28.0;-1
4.0;3.0;0.0;1
5.0;1.0;0.0;1
5.0;2.0;30.0;1
3.0;5.0;3.0;1
5.0;207.0;400.0;1
5.0;12.0;128.0;1
5.0;5.0;1.0;1
5.0;120.0;562.0;1
5.0;10.0;64.0;1
4.0;18.0;86.0;1
4.0;6.0;6.0;1
2.0;1.0;0.0;1
4.0;42.0;619.0;1
5.0;11.0;4.0;1
5.0;3.0;0.0;1
4.0;12.0;7.0;1
5.0;1.0;0.0;1
5.0;14.0;5.0;1
4.0;52.0;123.0;1
5.0;1.0;0.0;1
5.0;24.0;74.0;1
5.0;7.0;5.0;1
5.0;8.0;18.0;1
5.0;13.0;7.0;1
3.0;24.0;21.0;0
5.0;4.0;1.0;1
4.0;34.0;36.0;1
5.0;4.0;1.0;1
5.0;16.0;40.0;1
4.0;2.0;6.0;1
5.0;1.0;0.0;1
4.0;38.0;114.0;1
1.0;3.0;2.0;-1
4.0;2.0;31.0;1
5.0;60.0;2007.0;1
5.0;344.0;977.0;1
4.0;6.0;47.0;1
4.0;97.0;153.0;1
5.0;6.0;1.0;1
1.0;2.0;20.0;-1
5.0;35.0;82.0;1
4.0;9.0;144.0;1
5.0;4.0;32.0;1
2.0;3.0;0.0;-1
5.0;3.0;4.0;1
5.0;14.0;2.0;1
5.0;12.0;4.0;1
1.0;2.0;0.0;-1
5.0;49.0;73.0;1
5.0;10.0;1287.0;1
4.0;23.0;5.0;1
2.0;9.0;206.0;0
5.0;6.0;4.0;1
5.0;10.0;4.0;1
4.0;7.0;12.0;1
5.0;9.0;0.0;1
5.0;161.0;955.0;1
5.0;3.0;3.0;1
4.0;62.0;118.0;1
5.0;35.0;161.0;1
4.0;3.0;0.0;1
5.0;1.0;0.0;1
4.0;160.0;754.0;1
1.0;1.0;47.0;1
4.0;29.0;67.0;1
3.0;5.0;51.0;0
2.0;11.0;140.0;-1
5.0;8.0;6.0;0
4.0;47.0;60.0;1
4.0;196.0;615.0;1
4.0;1.0;0.0;1
4.0;17.0;1.0;1
3.0;10.0;3.0;0
5.0;10.0;5.0;1
4.0;1.0;1.0;1
4.0;42.0;49.0;1
4.0;10.0;37.0;-1
5.0;2.0;1.0;1
5.0;1.0;0.0;1
5.0;24.0;205.0;1
2.0;3.0;3.0;-1
5.0;5.0;96.0;1
4.0;7.0;2.0;1
5.0;4.0;6.0;1
5.0;81.0;248.0;1
5.0;10.0;56.0;1
5.0;3.0;4.0;1
5.0;33.0;10.0;1
4.0;131.0;424.0;1
1.0;1.0;0.0;-1
5.0;1.0;0.0;1
5.0;9.0;109.0;1
5.0;2.0;10.0;1
4.0;21.0;247.0;1
5.0;6.0;0.0;1
4.0;7.0;10.0;1
4.0;22.0;5.0;1
5.0;10.0;9.0;1
5.0;8.0;24.0;1
4.0;25.0;5.0;1
5.0;16.0;115.0;1
5.0;4.0;2.0;1
3.0;20.0;8.0;-1
4.0;13.0;18.0;1
3.0;1.0;1.0;-1
3.0;1.0;0.0;-1
3.0;9.0;0.0;0
1.0;1.0;1.0;-1
4.0;10.0;1.0;1
4.0;3.0;0.0;1
4.0;4.0;52.0;-1
1.0;5.0;7.0;-1
4.0;16.0;82.0;1
5.0;1.0;0.0;1
1.0;7.0;4.0;1
1.0;3.0;1.0;-1
1.0;3.0;6.0;-1
3.0;1.0;0.0;0
5.0;3.0;1.0;1
4.0;17.0;2.0;0
5.0;2.0;1.0;1
4.0;8.0;8.0;1
1.0;1.0;1.0;-1
5.0;59.0;42.0;1
4.0;12.0;1.0;0
4.0;78.0;418.0;1
1.0;1.0;2.0;-1
1.0;6.0;1.0;-1
1.0;166.0;252.0;-1
1.0;5.0;0.0;-1
5.0;1.0;0.0;1
3.0;120.0;562.0;0
2.0;23.0;14.0;-1
3.0;2.0;1.0;-1
1.0;1.0;0.0;-1
5.0;109.0;191.0;1
3.0;20.0;10.0;0
2.0;60.0;16.0;-1
1.0;1.0;4.0;-1
4.0;98.0;6931.0;1
5.0;9.0;0.0;1
3.0;145.0;248.0;1
1.0;23.0;26.0;-1
3.0;139.0;685.0;0
5.0;1.0;0.0;1
1.0;3.0;0.0;-1
1.0;3.0;0.0;0
5.0;6.0;4.0;1
1.0;2.0;0.0;-1
5.0;60.0;16.0;1
2.0;3.0;4.0;-1
1.0;1.0;1.0;-1
4.0;60.0;16.0;1
5.0;60.0;16.0;0
5.0;4.0;22.0;-1
4.0;26.0;17.0;1
3.0;1.0;0.0;-1
4.0;140.0;363.0;1
4.0;4.0;1.0;-1
4.0;3.0;0.0;1
1.0;1.0;0.0;-1
3.0;60.0;16.0;1
5.0;1.0;4.0;1
5.0;15.0;42.0;1
5.0;13.0;13.0;1
5.0;16.0;30.0;1
2.0;3.0;0.0;-1
3.0;4.0;1.0;1
5.0;67.0;436.0;1
5.0;1.0;0.0;1
4.0;42.0;1384.0;1
1.0;1.0;5.0;-1
3.0;12.0;21.0;1
4.0;64.0;202.0;1
1.0;1.0;0.0;-1
1.0;3.0;3.0;-1
5.0;18.0;41.0;1
5.0;7.0;3.0;1
1.0;1.0;43.0;-1
5.0;2.0;5.0;1
5.0;2.0;2.0;1
1.0;9.0;3.0;-1
4.0;40.0;82.0;0
5.0;86.0;647.0;1
4.0;60.0;16.0;-1
1.0;1.0;1.0;-1
5.0;84.0;798.0;1
2.0;6.0;0.0;-1
3.0;3.0;138.0;-1
5.0;5.0;0.0;1
1.0;2.0;1.0;-1
2.0;3.0;0.0;-1
4.0;35.0;961.0;1
5.0;166.0;980.0;1
3.0;9.0;3.0;0
1.0;1.0;1.0;-1
5.0;4.0;20.0;0
5.0;25.0;2.0;1
1.0;4.0;0.0;-1
4.0;11.0;4.0;0
2.0;2.0;2.0;-1
5.0;151.0;2116.0;1
5.0;7.0;0.0;1
4.0;1.0;1.0;1
4.0;61.0;70.0;1
4.0;139.0;685.0;-1
2.0;38.0;172.0;-1
5.0;1.0;0.0;1
5.0;4.0;1.0;1
2.0;84.0;387.0;-1
5.0;2.0;2.0;1
1.0;1.0;0.0;-1
5.0;3.0;118.0;1
4.0;3.0;1.0;1
3.0;76.0;64.0;0
1.0;4.0;1.0;-1
2.0;3.0;0.0;-1
5.0;1.0;26.0;1
5.0;2.0;0.0;1
2.0;9.0;0.0;-1
5.0;2.0;3.0;1
5.0;1.0;1.0;1
5.0;1.0;0.0;1
4.0;3.0;2.0;1
1.0;1.0;0.0;-1
5.0;1.0;30.0;1
1.0;1.0;4.0;-1
2.0;6.0;100.0;-1
5.0;7.0;7.0;1
3.0;10.0;6.0;0
1.0;2.0;48.0;-1
2.0;3.0;2.0;-1
4.0;3.0;1.0;1
1.0;2.0;1.0;-1
1.0;2.0;0.0;-1
2.0;65.0;137.0;-1
4.0;78.0;2470.0;1
1.0;2.0;0.0;-1
1.0;14.0;74.0;0
2.0;1.0;1.0;-1
5.0;1.0;0.0;1
1.0;3.0;2.0;-1
3.0;40.0;30.0;0
5.0;31.0;188.0;1
1.0;45.0;858.0;-1
5.0;2.0;22.0;1
5.0;6.0;2.0;1
4.0;1.0;1.0;1
5.0;17.0;2.0;1
5.0;74.0;1738.0;1
1.0;2.0;1.0;-1
1.0;5.0;2.0;-1
4.0;4.0;8.0;1
1.0;7.0;5.0;-1
3.0;4.0;0.0;-1
1.0;2.0;2.0;-1
2.0;53.0;136.0;-1
4.0;5.0;0.0;1
4.0;443.0;1016.0;1
5.0;1.0;1.0;1
5.0;2.0;1.0;1
5.0;6.0;6.0;0
5.0;1.0;21.0;1
3.0;6.0;100.0;0
5.0;1.0;1.0;0
4.0;11.0;7.0;1
4.0;249.0;628.0;0
4.0;6.0;2.0;1
4.0;119.0;469.0;1
5.0;2.0;1.0;1
4.0;5.0;11.0;1
5.0;3.0;2.0;1
1.0;2.0;0.0;-1
4.0;32.0;343.0;1
5.0;1.0;0.0;1
5.0;3.0;3.0;1
3.0;123.0;581.0;0
2.0;2.0;1.0;-1
1.0;1.0;8.0;-1
4.0;2.0;1.0;0
5.0;8.0;39.0;1
1.0;1.0;21.0;-1
5.0;1.0;14.0;1
3.0;1.0;1.0;1
5.0;1.0;1.0;1
1.0;2.0;2.0;1
5.0;2.0;4.0;1
4.0;1.0;0.0;-1
5.0;1.0;2.0;1
1.0;1.0;0.0;1
5.0;11.0;2.0;1
5.0;3.0;0.0;1
1.0;1.0;0.0;-1
1.0;3.0;11.0;1
3.0;3.0;1.0;-1
5.0;1.0;0.0;1
5.0;37.0;1092.0;1
5.0;1.0;13.0;1
5.0;5.0;1.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;2.0;1.0;1
1.0;1.0;1.0;-1
4.0;7.0;1.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
1.0;1.0;0.0;-1
2.0;3.0;3.0;-1
1.0;1.0;13.0;0
5.0;6.0;4.0;1
4.0;54.0;74.0;1
4.0;9.0;14.0;0
5.0;1.0;0.0;1
1.0;12.0;47.0;-1
5.0;1.0;22.0;1
5.0;61.0;26.0;1
4.0;4.0;4.0;1
3.0;27.0;59.0;-1
5.0;1.0;2.0;1
5.0;7.0;850.0;1
5.0;161.0;374.0;1
5.0;1.0;0.0;1
4.0;13.0;9.0;1
4.0;3.0;103.0;0
1.0;1.0;0.0;-1
3.0;63.0;260.0;-1
5.0;1.0;8.0;1
1.0;1.0;1.0;-1
2.0;12.0;48.0;-1
1.0;4.0;3.0;-1
1.0;3.0;30.0;-1
1.0;4.0;50.0;-1
5.0;1.0;2.0;1
5.0;9.0;5.0;1
1.0;5.0;0.0;-1
5.0;56.0;78.0;1
1.0;3.0;27.0;-1
5.0;1.0;5.0;1
3.0;9.0;2.0;-1
4.0;72.0;2050.0;1
5.0;4.0;27.0;1
5.0;1.0;2.0;1
4.0;14.0;12.0;1
4.0;25.0;622.0;1
4.0;28.0;24.0;-1
4.0;10.0;5.0;1
5.0;21.0;163.0;1
2.0;2.0;0.0;-1
5.0;7.0;597.0;0
4.0;25.0;40.0;1
3.0;66.0;1556.0;1
3.0;6.0;7.0;-1
5.0;5.0;79.0;-1
3.0;62.0;116.0;1
4.0;5.0;3.0;1
5.0;1.0;1.0;1
5.0;5.0;0.0;1
5.0;2.0;36.0;1
1.0;2.0;0.0;-1
4.0;10.0;8.0;1
5.0;10.0;4.0;1
3.0;49.0;284.0;1
1.0;6.0;59.0;-1
3.0;250.0;1454.0;0
4.0;17.0;25.0;0
5.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;1.0;2.0;1
5.0;1.0;3.0;1
5.0;1.0;3.0;1
1.0;1.0;15.0;0
1.0;1.0;1.0;-1
4.0;30.0;21.0;1
3.0;3.0;2.0;1
1.0;98.0;407.0;-1
1.0;7.0;3.0;-1
4.0;146.0;333.0;1
5.0;1.0;1.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;1.0;6.0;1
4.0;42.0;49.0;1
1.0;19.0;1.0;-1
5.0;1.0;0.0;1
2.0;7.0;26.0;-1
3.0;275.0;1989.0;1
3.0;111.0;568.0;1
1.0;5.0;3.0;-1
4.0;4.0;26.0;1
3.0;74.0;447.0;1
4.0;3.0;2.0;0
4.0;62.0;189.0;1
3.0;15.0;2.0;0
5.0;1.0;2.0;0
4.0;9.0;78.0;1
3.0;31.0;95.0;0
4.0;4.0;1.0;1
5.0;1.0;2.0;-1
4.0;63.0;142.0;1
5.0;1.0;2.0;1
5.0;10.0;10.0;1
4.0;4.0;7.0;1
5.0;22.0;90.0;1
4.0;1.0;46.0;1
5.0;25.0;13.0;1
5.0;1.0;1.0;-1
5.0;23.0;60.0;1
4.0;33.0;24.0;1
1.0;1.0;0.0;-1
5.0;10.0;11.0;1
5.0;36.0;1224.0;1
4.0;4.0;14.0;1
1.0;1.0;13.0;-1
4.0;24.0;8.0;1
4.0;67.0;220.0;1
4.0;145.0;248.0;1
4.0;10.0;10.0;1
5.0;2.0;1.0;1
4.0;74.0;97.0;1
5.0;66.0;84.0;1
5.0;34.0;10.0;1
4.0;86.0;647.0;1
5.0;28.0;52.0;1
1.0;48.0;15.0;-1
5.0;2.0;1.0;1
5.0;7.0;2.0;1
3.0;2.0;0.0;1
5.0;8.0;4.0;1
1.0;5.0;0.0;-1
2.0;7.0;65.0;-1
5.0;6.0;2.0;1
5.0;11.0;7.0;1
1.0;1.0;1.0;-1
3.0;1.0;21.0;0
5.0;12.0;27.0;1
5.0;32.0;319.0;1
4.0;3.0;6.0;1
5.0;4.0;0.0;1
4.0;3.0;67.0;1
4.0;28.0;1628.0;1
1.0;1.0;0.0;-1
5.0;19.0;15.0;1
3.0;45.0;858.0;1
5.0;32.0;216.0;1
4.0;27.0;5.0;1
5.0;15.0;11.0;1
4.0;17.0;9.0;0
1.0;3.0;0.0;-1
5.0;10.0;17.0;1
5.0;272.0;1646.0;1
5.0;7.0;70.0;-1
4.0;5.0;0.0;1
5.0;3.0;7.0;-1
5.0;179.0;1877.0;1
1.0;1.0;0.0;-1
5.0;34.0;329.0;1
1.0;2.0;50.0;0
4.0;24.0;43.0;1
5.0;5.0;0.0;1
4.0;75.0;260.0;1
1.0;1.0;1.0;-1
5.0;5.0;0.0;1
1.0;1.0;0.0;-1
5.0;11.0;13.0;1
5.0;2.0;0.0;1
5.0;1.0;19.0;1
5.0;6.0;1.0;1
1.0;15.0;4.0;-1
4.0;4.0;1.0;-1
5.0;10.0;1.0;1
5.0;11.0;1.0;1
5.0;5.0;2.0;1
5.0;16.0;12.0;1
3.0;26.0;193.0;0
5.0;13.0;13.0;1
3.5;14.0;83.0;-1
5.0;1.0;1.0;1
5.0;34.0;77.0;1
1.0;1.0;0.0;-1
4.0;16.0;2.0;1
1.0;1.0;1.0;-1
5.0;41.0;95.0;1
2.0;42.0;1384.0;-1
5.0;24.0;284.0;1
5.0;1.0;0.0;1
5.0;44.0;133.0;1
